"category","promo_flag","total_amount","total_qty","avg_revenue_per_unit"
"Dupatta","promo_applied","915.0","3","305.0"
"Bottom","promo_applied","107921.0","296","364.59797297297297"
"Bottom","no_promo","42746.979999999996","102","419.08803921568625"
"kurta","promo_applied","1.317868882E7","28234","466.76662251186514"
"kurta","no_promo","8120857.880000002","16811","483.06810302777956"
"Blouse","promo_applied","268689.0","506","531.005928853755"
"Blouse","no_promo","189719.18000000005","357","531.4262745098041"
"Top","promo_applied","3173426.3","5962","532.2754612546125"
"Top","no_promo","2174366.0","3941","551.7295102765795"
"Ethnic Dress","promo_applied","491984.0","657","748.834094368341"
