"category","sku","total_revenue","rank_in_category"
"Ethnic Dress","J0006-SET-M","73072.95000000001","1"
"Ethnic Dress","J0006-SET-XL","51465.479999999996","2"
"Ethnic Dress","J0006-SET-S","50827.04","3"
"Western Dress","JNE3797-KR-L","524581.77","1"
"Western Dress","JNE3797-KR-M","454290.16","2"
"Western Dress","JNE3797-KR-S","407302.56999999995","3"
"Blouse","J0217-BL-M","24288.9","1"
"Blouse","J0217-BL-L","20908.33","2"
"Blouse","J0217-BL-S","20670.989999999998","3"
"Set","J0230-SKD-M","527699.2","1"
